obligation_id,country_iso3,country_name,regime_type,regime_framework,is_enacted,effective_date,applies_to_platform,has_revenue_threshold,state_code,revenue_threshold_usd,transaction_threshold,transaction_threshold_active,platform_vs_seller_liability,filing_frequency,third_party_sales_inclusion,penalty_financial_severity,penalty_operational_severity,penalties_description,guidance_maturity,regulatory_attention_level,complexity_score_base,source_url,verbatim_quote,confidence_flag,last_verified_date,notes
MKT_FAC_USA_AL,USA_AL,Alabama,marketplace_fac,na_state,True,2019-01-01,True,True,AL,250000,,False,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"Marketplace facilitators with Alabama marketplace sales in excess of $250,000 are required to collect tax on sales made by or on behalf of their third-party sellers.",high,2025-01-31,"Non-collecting seller use tax reporting: Yes. References Alabama Department of Revenue Simplified Sellers Use Tax (SSUT); Act 2018-539. | Threshold detail: Included: Total retail sales of tangible personal property delivered into the state, sales made through a non-collecting marketplace, exempt sales. Excluded: Sales made through a registered marketplace facilitator, exempt wholesale sales, exempt services. Effective date: October 1, 2018. Evaluation period: Previous calendar year."
MKT_FAC_USA_AK,USA_AK,Alaska,marketplace_fac,na_state,True,,True,True,AK,100000,,False,platform,,True,,,,mature,medium,5,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"The collection obligation applies to marketplace facilitators with $100,000 or more in statewide gross sales of property, products, or services delivered into the state of Alaska in the current or previous calendar year. The collection requirement for marketplace facilitators is not in effect statewide.",medium,2025-01-31,"Enforcement date varies by jurisdiction. No statewide sales tax; over 100 local governments levy local sales taxes. Collection requirement is not statewide. Non-collecting seller use tax reporting: No. | Threshold detail: Included: Statewide gross sales of goods, property, or products delivered into the state, services (taxable and exempt) rendered in the state, sales made through a registered marketplace facilitator, exempt sales. Excluded: None. Effective date: Varies by district. Evaluation period: Current or previous calendar year. Previous threshold rules: $100,000 or 200 transactions prior to January 1, 2025."
MKT_FAC_USA_AZ,USA_AZ,Arizona,marketplace_fac,na_state,True,2019-10-01,True,True,AZ,100000,,False,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"A business that has nexus with Arizona, operates an online marketplace, and makes online sales on behalf of third-party merchants is required to collect and remit Arizona transaction privilege tax on all sales made through the marketplace if its gross retail proceeds or income exceed $100,000 annually.",high,2025-01-31,"Originally effective September 20, 2016; updated effective October 1, 2019. Non-collecting seller use tax reporting: No. References HB 2757. | Threshold detail: Included: Gross proceeds of sales of tangible personal property or services, gross income derived from business in the state, services (taxable and exempt) rendered in the state, exempt sales. Excluded: Sales made through a registered marketplace facilitator, rentals of personal property. Effective date: October 1, 2019. Evaluation period: Current or previous calendar year. Previous threshold rules: $200,000 in sales only as of January 1, 2019; $150,000 in sales only as of January 1, 2020; $100,000 in sales only as of January 1, 2021."
MKT_FAC_USA_AR,USA_AR,Arkansas,marketplace_fac,na_state,True,2019-07-01,True,True,AR,100000,200,True,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"A marketplace facilitator that sells or facilitates more than $100,000 in sales or at least 200 transactions of tangible personal property, taxable services, a digital code, or specified digital products for delivery into Arkansas in the previous or current calendar year must collect and remit sales or use tax on all sales made through the marketplace for delivery into Arkansas.",high,2025-01-31,"Threshold is $100,000 OR 200 transactions. Non-collecting seller use tax reporting: No. References SB 576. | Threshold detail: Included: Aggregated sales of taxable tangible personal property or services, taxable services, digital codes, specified digital products subject to Arkansas sales or use tax delivered into a state. Excluded: Exempt sales, exempt services, sales made through a registered marketplace facilitator. Effective date: July 1, 2019. Evaluation period: Current or previous calendar year."
MKT_FAC_USA_CA,USA_CA,California,marketplace_fac,na_state,True,2019-10-01,True,True,CA,500000,,False,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"The collection requirement applies to in-state marketplaces and out-of-state marketplaces with sales of tangible personal property in California that exceed $500,000 in the current or preceding calendar year.",high,2025-01-31,"Non-collecting seller use tax reporting: No. References AB 147 and SB 92. | Threshold detail: Included: Total combined sales of tangible personal property delivered into the state by the retailer and all persons related to the retailer, nontaxable sales (e.g., sales for resale), sales made through a registered marketplace facilitator. Excluded: Services (taxable and exempt). Effective date: April 1, 2019. Evaluation period: Current or previous calendar year."
MKT_FAC_USA_CO,USA_CO,Colorado,marketplace_fac,na_state,True,2019-10-01,True,False,CO,,,False,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,A marketplace facilitator with a physical presence in Colorado or economic nexus with the state must collect and remit sales or use tax on all sales to Colorado consumers made through the marketplace.,medium,2025-01-31,"No specific revenue threshold stated in this source for marketplace facilitator law; applies to those with physical presence or economic nexus. Non-collecting seller use tax reporting: Yes. References HB 10-1193. | No explicit marketplace facilitator threshold stated. Economic nexus threshold for remote sellers is $100,000 — verify whether this applies to marketplace facilitators specifically."
MKT_FAC_USA_CT,USA_CT,Connecticut,marketplace_fac,na_state,True,2018-12-01,True,True,CT,250000,200,False,platform,,True,,,,mature,medium,4,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"Marketplace facilitators that facilitated retail sales of at least $250,000 during the prior 12-month period are required to collect and remit sales tax on behalf of their marketplace sellers.",high,2025-01-31,"Non-collecting seller use tax reporting: Yes. References Public Act No. 18-152. | Threshold detail: Included: Gross receipts from tangible personal property (including digital products and SaaS) sold into the state, exempt sales, taxable services, sales made through a registered marketplace facilitator. Excluded: Sales for resale, exempt services. Effective date: July 1, 2019. Evaluation period: Threshold applies to all transactions within the 12-month period ending on September 30 immediately preceding the monthly or quarterly period when liability is established. Previous threshold rules: $250,000 and 200 transactions prior to June 30, 2019; prior rules included gross receipts from tangible personal property sold into the state and exempt sales in sales threshold only; sales for resale excluded in transactions threshold only; exempt services, taxable services, digital products and SaaS excluded. Note: thresholds are conjunctive (AND), not disjunctive (OR)."
MKT_FAC_USA_FL,USA_FL,Florida,marketplace_fac,na_state,True,2021-07-01,True,True,FL,100000,,False,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"Marketplace facilitators that have a physical presence in Florida or facilitated retail sales of at least $100,000 during the previous calendar year are required to collect and remit sales tax on behalf of their marketplace sellers.",high,2025-01-31,"Excludes persons who solely provide travel agency services and, with certain exceptions, delivery network companies. Non-collecting seller use tax reporting: No. References Florida SB 50. | Threshold detail: Included: Taxable sales of tangible personal property delivered physically into the state. Excluded: Exempt sales, services (taxable and exempt), sales made through a registered marketplace facilitator. Effective date: July 1, 2021. Evaluation period: Previous calendar year."
MKT_FAC_USA_GA,USA_GA,Georgia,marketplace_fac,na_state,True,2020-04-01,True,True,GA,100000,200,False,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"A marketplace facilitator that makes or facilitates taxable retail sales of $100,000 or more in aggregate in the previous or current calendar year is the retailer for each taxable retail sale it facilitates in Georgia on behalf of a marketplace seller.",high,2025-01-31,"A franchisor is not considered a marketplace facilitator with respect to any dealer that is its franchisee. Non-collecting seller use tax reporting: No. References HB 276. | Threshold detail: Included: Gross revenue from retail sales of tangible personal property delivered electronically or physically to a location in the state for consumption, use, or storage in the state, exempt sales. Excluded: Services (taxable and exempt), exempt resales, sales made through a registered marketplace facilitator. Effective date: January 1, 2019. Evaluation period: Current or previous calendar year. Previous threshold rules: $250,000 or 200 transactions prior to January 1, 2020."
MKT_FAC_USA_HI,USA_HI,Hawaii,marketplace_fac,na_state,True,2020-01-01,True,False,HI,,,False,platform,,True,,,,mature,medium,7,https://www.avalara.com/us/en/learn/guides/state-by-state-guide-to-marketplace-facilitator-laws.html,"A marketplace facilitator that has physical or economic nexus with Hawaii must collect and remit sales tax on all sales into the state, including those by an unlicensed seller. Marketplace sellers may be liable for Hawaii general excise tax (GET) in some situations.",medium,2025-01-31,"No specific revenue threshold stated for marketplace facilitator law in this source; applies based on physical or economic nexus. Non-collecting seller use tax reporting: Yes. References SB396 SD1. | No explicit marketplace facilitator threshold stated. Economic nexus threshold for remote sellers is $100,000 — verify whether this applies to marketplace facilitators specifically."
